numDepartement;annee;nbEcrans;nbFauteuils;nbMultiplexes;nbSeances;nbEntrees;recettes;tauxOccupation;nbEtablissementsAE;nbEcransAE;nbFauteuilsAE;nbSeancesAE;nbEntreesAE;tauxOccupationAE;recettesAE;nbHabitantsDepartement;nbEtablissements
1;1966;35;12962;;;802733;313857,7681;;;;;;;;;339262;
1;2002;35;6288;;26375;765417;4067325,54;16,31378465;10;16;2880;12208;349090;17,82521091;1773873;515270;20
1;1967;34;12754;;;731594;314581,7485;;;;;;;;;339262;
1;2003;35;6288;;26728;662587;3549898,03;13,7387541;12;18;3416;13605;347490;14,59653185;1783400;566740;20
1;1968;33;12256;;;711298;331288,0265;;;;;;;;;339262;
1;2004;35;6288;;27906;789976;4241187,9;15,92913216;12;18;3416;14279;413324;16,57184418;2141339;566740;20
1;1969;32;11677;;;617923;326184,3383;;;;;;;;;339262;
1;2005;37;6330;;29328;707405;3824315,2;14,1206861;11;17;3025;12864;307446;14,50122586;1559960;631877;20
1;1970;28;10703;;;632750;354021,5289;;;;;;;;;339262;
1;2006;37;6162;;29233;776385;4288155,86;15,33688765;11;19;3482;15500;449286;16,6412885;2467956;631877;20
1;1971;27;10313;;;598529;366313,4931;;;;;;;;;339262;
1;2007;37;6192;;28062;729508;4055607,3;15,02373291;12;20;3592;15440;433161;16,21645602;2392292;631877;20
1;1972;26;9913;;;614866;421091,0166;;;;;;;;;376477;
1;2008;47;8155;1;30433;789451;4488650,66;14,8111633;11;19;3382;15337;424017;16,30358049;2360594;631877;22
1;1973;25;9631;;;557997;465940,7553;;;;;;;;;376477;
1;2009;42;6972;1;34919;934311;5722660,65;14,83871367;12;23;3781;19214;462559;14,6469908;2648185;631877;21
1;1974;25;9261;;;533322;474732,9474;;;;;;;;;376477;
1;2010;41;6947;1;35017;996146;6316376,12;15,77685921;12;23;3781;19062;469859;14,97861241;2796397;631877;20
1;1975;24;8933;;;537169;537880,8367;;;;;;;;;376477;
1;2011;39;6756;1;34736;1057867;6738018,12;16,83340945;12;23;3816;19046;527018;16,77169569;3179008;631877;18
1;1976;23;8726;;;519426;627264,4396;;;;;;;;;376477;
1;2012;38;6546;1;35736;997657;6407308,07;15,3582071;12;23;3816;20723;499781;14,63489269;3070250;631877;17
1;1977;22;8289;;;489714;651768,0275;;;;;;;;;376477;
1;2013;39;6727;1;35671;953602;6114998,27;14,65294595;12;23;3816;20199;466583;13,7261299;2831850;631877;18
1;1978;24;8667;;;502166;748587,4836;;;;;;;;;376477;
1;2014;38;6640;1;36965;1072531;6578448,09;15,69706262;12;22;3729;20279;519661;14,56632703;3043675;631877;18
1;1979;21;7957;;;535936;864818,1207;;;;;;;;;418516;
1;2015;38;6838;1;37828;1099456;6759192,69;15,94007048;13;24;4102;22666;577090;15,0864486;3373425;631877;18
1;1980;19;7397;;;449383;919679,9485;;;;;;;;;418516;
1;2016;38;6464;1;38282;1155275;7110338,83;16,91745151;12;22;3536;21536;582944;16,32009496;3430316;631877;18
1;1981;26;8101;;;573999;1411741,623;;;;;;;;;418516;
1;2017;39;7038;1;37959;1103360;6835074,15;15,86852549;14;24;4150;22432;588720;15,54931292;3451005;631877;19
1;1982;28;8399;;;848496;2442498,06;;;;;;;;;418516;
1;2018;39;7038;1;39848;1077027;6654475,02;14,81065323;13;23;3973;22899;558811;14,40520784;3283148;631877;19
1;1983;30;7866;;;872823;2691398,979;;;;;;;;;418516;
1;2019;41;7417;1;39816;1129642;7046299,92;15,55568469;13;23;4013;22868;595614;15,29942605;3538835;631877;21
1;1984;36;8386;;;870330;2789884,855;;;;;;;;;418516;
1;2020;41;7422;1;19038;324169;1970670,76;9,214645012;13;23;4018;10086;167300;9,698904946;961631;631877;21
1;1985;37;8475;;;816541;2811231,376;;;;;;;;;418516;
2;2002;38;7403;;28187;728628;3939690,14;14,07741508;8;31;5645;26956;688026;13,99005198;3802466;535842;15
1;1986;36;8036;;;832789;3084313,685;;;;;;;;;418516;
2;2003;38;7403;;29828;664009;3637597,4;12,03578568;8;31;5645;28500;627467;11,99976975;3511064;537061;15
1;1987;37;8168;;;660777,11;2497029,798;;;;;;;;;471019;
2;2004;39;7435;;32060;741963;4061781,31;12,6950746;7;27;5055;26216;609717;12,30635739;3468922;537061;15
1;1988;39;8389;;;599622,8408;2438592,893;;;;;;;;;471019;
2;2005;39;7015;;30745;609551;3402554,41;11,57000902;6;25;4472;25439;496572;10,81511963;2881528;538659;15
1;1989;39;8231;;;623480,1607;2610732,889;;;;;;;;;471019;
2;2006;38;6433;;31113;683614;3909530,58;12,57711975;5;24;4330;25325;564168;12,44569041;3387406;538659;15
1;1990;38;7518;;;627873,6077;2689734,299;;;;;;;;;471019;
2;2007;43;7162;1;39225;684105;3965050,59;9,868106458;5;29;5059;32715;554175;9,298746878;3376527;538659;15
1;1991;37;7331;;;623640,9275;2821877,943;;;;;;;;;471019;
2;2008;44;7744;1;45519;822323;4799884,78;10,48952824;6;32;5439;41233;723502;10,18144595;4361521;538659;15
1;1992;36;6901;;21626;600483;2785150,77;14,7804069;;;;;;;;471019;20
2;2009;43;7162;1;46081;834189;4985702,75;10,64538803;5;29;5059;38641;685760;10,14621132;4275649;538659;15
1;1993;35;6761;;20270;704773;3135869,55;18,15459976;;;;;;;;471019;19
2;2010;43;7162;1;47434;852679;5229533,7;10,62998187;6;32;5439;43030;762135;10,39656696;4842671;538659;15
1;1994;33;6299;;20472;560305;2731117,89;14,81464932;;;;;;;;471019;17
2;2011;43;7162;1;48859;994278;6204018,55;12,05958437;6;32;5439;44094;884373;11,80201476;5687689;538659;15
1;1995;34;6296;;21408;612447;3056042,43;15,67440183;;;;;;;;515270;18
2;2012;43;7162;1;49117;907405;5703420,69;10,86054179;6;32;5439;45021;840104;11,03436609;5436704;538659;15
1;1996;35;6477;;23064;632948;3178206,45;15,24082971;;;;;;;;515270;19
2;2013;43;7162;1;50685;826990;5175547,02;9,654116941;6;32;5439;45454;748310;9,681458024;4819317;538659;15
1;1997;35;6468;;23781;681589;3434393,05;15,96322123;;;;;;;;515270;19
2;2014;43;7162;1;51260;966123;5934177,9;11,14107055;7;24;3848;27542;528946;11,73310299;3109220;538659;15
1;1998;35;6432;;24782;786638;4133768,4;17,84621597;;;;;;;;515270;19
2;2015;43;7041;1;51350;977986;6273182,61;11,44121075;7;34;5575;47375;908178;11,55156898;5945972;538659;15
1;1999;39;6890;;23855;657029;3388282,41;15,7641471;;;;;;;;515270;21
2;2016;43;7122;1;52527;1026679;6588537,25;11,7225047;7;34;5656;48245;944236;11,78271319;6193476;538659;15
1;2000;36;6523;;25267;688955;3538847,22;15,69142315;;;;;;;;515270;21
2;2017;43;6774;1;52596;1002796;6518186,34;11,90948188;7;34;5308;48986;951722;12,50776214;6340608;538659;15
1;2001;36;6470;;26567;788686;4130702,23;16,96403548;;;;;;;;515270;21
2;2018;43;6774;1;56309;950480;6055898,81;10,48679734;5;25;3942;40537;661659;10,20183681;4298553;538659;15
2;2019;44;7356;1;55540;971011;6172368,96;10,85642711;3;14;2144;24435;397610;9,830910612;2676929;538659;15
2;2020;43;6774;1;27844;266015;1673291,71;5,920666211;5;23;3506;18786;166048;5,495861423;1085766;538659;15
3;2002;28;3956;;17179;497270;2788412,72;20,52746338;4;12;1562;8743;250626;21,85231945;1401432;344721;11
3;2003;29;4085;;16778;449155;2526720,32;19,42542217;4;12;1519;8653;217560;19,64575159;1220005;343309;12
3;2004;36;5110;;19150;548907;3099808,19;20,8301678;4;12;1519;8685;251652;22,54118111;1430083;343309;13
3;2005;27;3747;;21474;501055;2900232,88;16,82696425;3;10;1324;7677;181159;18,00971472;1037995;341613;10
3;2006;27;3747;;21713;612223;3586284,78;20,08473195;4;11;1455;8584;247318;22,12853299;1437712;341613;10
3;2007;27;3747;;21049;563547;3374102,94;19,06878979;5;18;2467;17430;464358;19,36316771;2823499;341613;10
3;2008;27;3747;;21802;562993;3426585,35;18,24634558;3;6;793;3479;91903;19,95488043;571383;341613;10
3;2009;27;3747;;21006;575641;3538069,75;19,7859516;3;4;664;2161;49294;13,29840616;283507;341613;10
3;2010;24;3109;;22378;605471;3784933,72;19,56884426;2;2;261;1159;24465;16,24825662;120987;341613;10
3;2011;27;3292;1;24838;659656;4151309,03;19,6789994;3;11;1379;9082;169222;13,57436735;1102531;341613;9
3;2012;26;3212;1;34098;715394;4492298,56;16,20954491;3;11;1379;16391;238155;11,94359272;1562551;341613;8
3;2013;26;3212;1;34736;675595;4258444,87;14,88866366;4;16;2041;23206;389197;13,29777438;2474674;341613;8
3;2014;25;3212;1;35309;749120;4652703,55;16,27464241;5;23;3053;34698;731231;16,02617293;4574087;341613;7
3;2015;25;3177;1;35330;742633;4750649,76;16,30860053;4;18;2391;27770;539449;14,79011406;3559027;341613;7
3;2016;26;3177;1;35266;770874;4923294,44;17,22636937;4;16;2041;23512;443073;15,14156742;2821066;341613;8
3;2017;26;3177;1;34673;738063;4756387,03;16,58359474;5;23;3053;34179;730108;16,51297173;4760426;341613;8
3;2018;26;3177;1;38261;706053;4536313,31;14,48974876;5;23;3053;37249;680318;14,04452676;4426207;341613;8
2;1966;33;21056;;;1414330;554072,7517;;;;;;;;;526029;
3;2019;26;3177;1;38205;735540;4752409,02;15,10900694;5;23;3053;37229;708899;14,64757541;4638125;341613;8
2;1967;31;20358;;;1314318;552642,6275;;;;;;;;;526029;
3;2020;26;3441;1;18245;204468;1287557,85;8,615759574;4;18;2391;15258;152224;7,650758246;987951;341613;8
2;1968;29;18724;;;1296604;571132,1016;;;;;;;;;526029;
4;2002;23;3480;;17458;450759;2261244,75;17,03373008;7;12;1874;10826;279884;16,97250043;1411788;139561;15
2;1969;27;17899;;;1071328;541620,4111;;;;;;;;;526029;
4;2003;23;3551;;17645;421248;2122074,92;15,93606326;7;12;1876;11078;266115;15,82566229;1344378;154501;15
2;1970;26;17328;;;1137742;613923,1687;;;;;;;;;526029;
4;2004;23;3573;;18169;492803;2523046,95;18,28418376;7;12;1898;11430;310824;17,93533392;1622956;154501;15
2;1971;25;16728;;;1040276;637884,8004;;;;;;;;;526029;
4;2005;23;3469;;17978;416895;2114854,86;16,28587066;7;12;1771;11542;267204;16,55359549;1378764;161799;15
2;1972;30;17321;;;1113584;767466,0077;;;;;;;;;533862;
4;2006;25;3901;;18151;453799;2330427,11;16,14826402;8;14;1968;12080;312979;18,83170606;1610836;161799;15
2;1973;30;16968;;;1088907;889944,7677;;;;;;;;;533862;
4;2007;23;3623;;19023;435975;2339779,5;14,86322661;8;17;2547;16850;386415;14,95044954;2064601;161799;13
2;1974;31;17071;;;1070818;1056382,202;;;;;;;;;533862;
4;2008;23;3623;;19887;461323;2508073,94;15,03612336;8;17;2547;17607;410993;15,22800905;2219384;161799;13
2;1975;32;17133;;;1116738;1340087,689;;;;;;;;;533862;
4;2009;23;3623;;20274;472899;2584494,1;15,20174745;7;16;2499;17533;407988;14,9185871;2226816;161799;13
2;1976;31;16626;;;979009;1351156,554;;;;;;;;;533862;
4;2010;23;3623;;20521;484111;2743373,21;15,48468919;6;15;2281;17630;420817;15,56443389;2403527;161799;13
2;1977;31;14710;;;856749;1258098,625;;;;;;;;;533862;
4;2011;23;3623;;20850;502478;2892773,97;15,77279402;6;15;2281;17784;430801;15,77361185;2503475;161799;13
2;1978;34;14251;;;1026849;1727589,766;;;;;;;;;533862;
4;2012;23;3623;;20698;447737;2597588,71;13,9766777;7;16;2499;18636;402446;14,02146809;2358506;161799;13
2;1979;37;12675;;;995531;1880199,007;;;;;;;;;533970;
4;2013;23;3783;;20301;421958;2484494,44;13,13838431;8;17;2707;18169;388229;13,48240195;2282941;161799;13
2;1980;34;10385;;;956666;2259854,838;;;;;;;;;533970;
4;2014;24;4225;;21680;466848;2691666,02;13,27955307;6;15;2460;17962;388884;13,29126708;2246495;161799;13
2;1981;32;9472;;;1134795;2962102,394;;;;;;;;;533970;
4;2015;24;4289;;22304;471284;2741810,2;12,34629157;6;16;2883;19249;406827;12,08521831;2400453;161799;13
2;1982;32;9160;;;1197469;3494481,041;;;;;;;;;533970;
4;2016;24;4177;;23834;510383;3073268,08;12,43679054;7;17;3101;20788;442604;11,85963634;2713829;161799;13
2;1983;35;9015;;;1180813;3738249,001;;;;;;;;;533970;
4;2017;25;4269;;24773;479648;2921625,99;11,08284964;7;17;3081;22166;429704;10,98186182;2670835;161799;14
2;1984;35;9005;;;1110105;3741066,716;;;;;;;;;533970;
4;2018;29;4888;1;27178;495318;3007705,81;9,989353547;7;21;3700;24275;439559;9,6854278;2705648;161799;14
2;1985;37;8738;;;974646;3518814,8;;;;;;;;;533970;
4;2019;29;4888;1;35153;568488;3514416,48;9,776780302;7;21;3700;32237;511402;9,491459112;3208017;161799;14
2;1986;36;7700;;;956002;3683435,727;;;;;;;;;533970;
4;2020;29;4878;1;16972;166964;1022764,1;5,895265505;7;21;3700;15296;143244;5,566881941;893470;161799;14
2;1987;38;7977;;;696991,3656;2822621,157;;;;;;;;;537259;
5;2002;35;6053;;20619;535984;2995213,58;16,09145503;4;5;810;3987;114049;18,83277079;575965;121419;23
2;1988;38;7977;;;593763,2944;2491666,108;;;;;;;;;537259;
5;2003;34;5603;;20312;465671;2625420,12;14,7477322;5;6;969;4560;119209;16,9803473;609094;130752;22
2;1989;37;7343;;;568428,0548;2447746,142;;;;;;;;;537259;
5;2004;36;6085;;20396;518734;3048926,4;17,18952035;4;5;816;4051;123723;19,75698791;646827;130752;24
2;1990;37;7531;;;623259,7003;2781929,195;;;;;;;;;537259;
5;2005;34;4875;;20280;425736;2551040,75;15,09989133;6;7;1068;4783;123789;18,09767472;644855;140916;22
2;1991;37;7531;;;592127,1217;2795538,35;;;;;;;;;537259;
5;2006;34;4875;;20862;472145;2863332,14;16,12298469;6;7;1068;4904;137996;20,05580909;742907;140916;22
2;1992;36;7338;;21474;525640;2584499,96;12,4172688;;;;;;;;537259;15
5;2007;34;4875;;20355;430185;2621643,42;15,07835973;6;7;1068;4775;126241;18,43399866;687203;140916;22
2;1993;36;7338;;21894;679910;3357086,99;15,5867551;;;;;;;;537259;15
5;2008;34;4875;;20176;423742;2559350,84;14,85665121;6;7;1068;4824;125050;17,89819;690230;140916;22
2;1994;36;7338;;21354;578064;2836689,83;13,82856109;;;;;;;;537259;15
5;2009;34;4875;;20122;422973;2556563,08;15,1381796;6;7;1068;4669;121661;18,18658814;670581;140916;22
2;1995;37;7399;;21353;593027;3048701,81;14,25156496;;;;;;;;535842;16
5;2010;34;4875;;19768;425525;2672135,97;15,49893626;6;7;1068;4314;114133;18,58919337;647014;140916;22
2;1996;39;8138;;23345;635126;3261611,79;13,92939919;;;;;;;;535842;17
5;2011;34;4875;;19305;444810;2820516,27;16,62953021;5;6;908;4320;122591;20,04880099;689180;140916;22
2;1997;37;7443;;24849;707342;3596401,91;14,86821611;;;;;;;;535842;15
5;2012;34;4875;;21519;405732;2642607,6;12,63071777;5;6;908;4280;108255;18,05459658;639741;140916;22
2;1998;38;7524;;26084;877053;4583123,94;18,0408641;;;;;;;;535842;15
5;2013;35;5020;;21493;385291;2519496,48;12,82986134;5;6;908;4503;111672;17,57197346;656725;140916;23
2;1999;38;7524;;26210;689729;3499969,34;14,12937555;;;;;;;;535842;15
5;2014;34;4950;;22454;422463;2650064,97;13,14840543;5;6;908;4815;122738;17,98040201;716416;140916;22
2;2000;38;7515;;26324;713556;3663639,85;14,81735282;;;;;;;;535842;15
5;2015;34;4995;;21917;429921;2711563,69;13,97439031;6;7;1068;5566;129075;16,25068931;766304;140916;22
2;2001;38;7403;;28176;777142;4127414,01;14,99736774;;;;;;;;535842;15
5;2016;35;4814;;22532;454830;2850976,73;14,90004557;7;8;1342;7062;166943;13,96512379;967779;140916;23
5;2017;35;5201;;22993;444883;2810718,23;13,4867713;6;7;1185;5940;129646;14,64787523;777910;140916;23
5;2018;35;5201;;23561;432575;2718203,43;12,67356477;7;8;1455;5675;119986;13,29876728;699110;140916;23
5;2019;38;5378;;28115;483373;3075462,35;12,68347325;8;9;1640;7418;157309;13,17890959;915492;140916;23
5;2020;38;5378;;16505;171421;1068785,6;7,939678802;8;9;1640;3751;56339;9,569614491;328861;140916;23
6;2002;94;16764;2;109763;3498996;21693536,9;18,95821072;9;21;2948;23948;482303;14,87471148;2675761;1011326;42
6;2003;92;16080;2;113057;3303214;20828321,92;17,69631038;9;17;2750;17317;467509;17,11633244;2677324;1073184;40
6;2004;93;16096;1;114581;3659566;23510439,74;19,59991298;11;21;2971;21386;622080;20,86565221;3542218;1073184;42
6;2005;93;15984;1;109699;3156489;20418358,63;17,96861035;12;26;3646;29516;710461;17,71619811;4068557;1082440;42
6;2006;93;15984;1;111502;3284058;21323643,96;18,30074662;11;23;3472;29957;767004;17,98825727;4489910;1082440;42
6;2007;92;15824;1;113330;3120909;20226151,16;17,03868889;10;20;3095;27074;629585;15,77684653;3717904;1082440;41
6;2008;93;15874;1;120406;3379489;22117980,86;17,43784108;11;24;3319;31562;686470;16,07058538;4047112;1082440;41
6;2009;94;15974;1;116996;3658883;24430300,67;19,80097517;11;24;3319;31370;719947;17,39171292;4251597;1082440;42
6;2010;96;16886;1;121089;3967822;27823136,42;19,96877123;11;24;3319;30808;740611;18,20187511;4494425;1082440;41
6;2011;95;16786;1;126729;3990493;27753902,55;18,8879049;11;24;3319;31566;763020;18,19632196;4619020;1082440;40
6;2012;94;16666;1;125457;3755853;26528120,53;17,74572387;10;23;3142;30527;681638;16,78245819;4193687;1082440;39
6;2013;97;17390;1;128410;3576917;25344054,64;16,57959435;10;23;3142;31214;677029;16,39302147;4121544;1082440;42
6;2014;99;17762;1;128059;3778631;26188925,97;17,57246478;10;23;3142;31611;729423;17,48255754;4365122;1082440;43
6;2015;109;19323;2;133103;3692148;25869601,16;16,66056811;11;24;3254;32067;701703;16,61191332;4237537;1082440;44
6;2016;110;18815;2;145483;3958916;28211536,56;16,40625926;11;26;3578;32741;747499;17,43020389;4538340;1082440;43
3;1966;39;18968;;;1380363;736154,3516;;;;;;;;;386533;
6;2017;107;18273;2;148670;3809843;27384430,68;15,31203372;12;28;3943;37632;763018;15,08497902;4710996;1082440;43
3;1967;38;18702;;;1315849;746601,9876;;;;;;;;;386533;
6;2018;117;20464;3;166244;3874644;28194291,13;13,88678318;13;29;4241;38285;786497;14,6260995;4803942;1082440;45
3;1968;40;19608;;;1270958;744482,9463;;;;;;;;;386533;
6;2019;115;19491;3;160360;4067898;30194810,78;15,39106196;15;33;4784;43073;970898;16,13073817;5986762;1082440;43
3;1969;39;19050;;;1144726;732004,0795;;;;;;;;;386533;
6;2020;110;18553;3;78376;1130576;8192706,88;8,834184786;14;31;4516;20304;280862;9,729969798;1694935;1082440;42
3;1970;36;17340;;;1113559;783217,345;;;;;;;;;386533;
7;2002;34;5814;;12090;403262;1933386,15;23,05076104;8;15;2165;7686;249539;24,24386979;1177572;286023;23
3;1971;35;16650;;;1046932;793614,5205;;;;;;;;;386533;
7;2003;33;5614;;11898;361372;1743634,19;21,05043642;9;19;2696;10241;295095;20,88242662;1453512;306185;22
3;1972;34;16209;;;1097246;906277,5456;;;;;;;;;378406;
7;2004;34;5614;;12516;411561;1996463,43;23,19982773;10;21;2924;11404;342404;21,81225626;1692583;306185;23
3;1973;35;16369;;;1007605;935636,9396;;;;;;;;;378406;
7;2005;33;4701;;12798;370017;1786539,3;21,35948615;9;19;2473;11006;299448;21,06748747;1478888;324209;22
3;1974;34;15002;;;971656;1015784,876;;;;;;;;;378406;
7;2006;34;4891;;13312;423625;2088997,54;22,96146377;9;19;2473;11611;349970;23,47161535;1766229;324209;23
3;1975;33;14350;;;961736;1168096,994;;;;;;;;;378406;
7;2007;34;4891;;13464;409229;2044920,45;22,14276091;11;21;3076;12039;357993;21,77591537;1829344;324209;23
3;1976;37;13166;;;915446;1307504,608;;;;;;;;;378406;
7;2008;34;4891;;13570;416267;2127890,87;22,15833902;10;20;2920;11659;353172;22,04836291;1869725;324209;23
3;1977;36;12568;;;815066;1294707,275;;;;;;;;;378406;
7;2009;33;4701;;13728;430962;2223318,32;22,76239405;10;20;2920;11849;365505;22,45737458;1941405;324209;22
3;1978;31;9437;;;817351;1432102,714;;;;;;;;;378406;
7;2010;34;4891;;14184;431416;2238014,23;21,55062861;10;20;2920;12223;364414;21,19499343;1948384;324209;23
3;1979;31;9437;;;814433;1631028,406;;;;;;;;;369580;
7;2011;32;4551;;14703;468012;2511855,23;21,94745876;10;20;2920;12779;402813;21,65431941;2220120;324209;21
3;1980;32;8742;;;737856;1855464,306;;;;;;;;;369580;
7;2012;34;4821;;15464;440419;2429006,54;19,2000415;11;22;2970;13999;395479;19,52702106;2246758;324209;22
3;1981;34;7739;;;837652;2298741,686;;;;;;;;;369580;
7;2013;32;4421;;17185;438762;2409987,17;17,62330655;12;24;3188;15805;390553;17,42235835;2212037;324209;20
3;1982;34;7693;;;957256;2863467,575;;;;;;;;;369580;
7;2014;32;4421;;17888;503241;2691579,14;19,41611337;12;23;3170;16152;448899;19,19369211;2444762;324209;20
3;1983;34;7693;;;888170;2851033,528;;;;;;;;;369580;
7;2015;33;5212;;18154;491656;2680823,53;18,47123253;12;23;3346;16364;433132;17,96555812;2405765;324209;21
3;1984;40;7590;;;826207;2890014,894;;;;;;;;;369580;
7;2016;32;4265;;18597;508185;2772031,55;19,57303186;12;23;3094;16747;445994;18,94955993;2485603;324209;20
3;1985;41;7989;;;738542;2701259,229;;;;;;;;;369580;
7;2017;32;5223;;18453;491843;2691381,15;16,90333738;11;24;3478;16613;426169;17,48410746;2383189;324209;19
3;1986;43;8216;;;723053;2825566,434;;;;;;;;;369580;
7;2018;32;5223;;20604;537329;2986990,64;17,05271489;11;24;3478;18626;467780;17,33105207;2658534;324209;19
3;1987;44;7899;;;507551,4254;2110264,178;;;;;;;;;357710;
7;2019;33;5283;;21539;580983;3261422,7;17,76880306;12;26;3830;20203;526105;17,30986637;3022189;324209;19
3;1988;40;7220;;;437832,894;1883353,429;;;;;;;;;357710;
7;2020;32;4883;;10645;175485;973483,47;11,21052026;12;26;3830;9895;157364;10,97830417;899799;324209;18
3;1989;36;6302;;;416206,3768;1839168,502;;;;;;;;;357710;
8;2002;15;3214;;12787;369925;1984784,73;13,76429777;4;10;1923;10050;249604;13,31173056;1301813;290130;7
3;1990;33;5668;;;423960,358;1954313,269;;;;;;;;;357710;
8;2003;15;3214;;12641;333132;1841236,68;12,75738745;4;10;1923;10063;240740;12,68920616;1315799;285653;7
3;1991;33;5533;;;379002,3825;1845867,934;;;;;;;;;357710;
8;2004;19;3793;1;21989;510499;2982972,59;11,70703058;4;15;3045;19809;461222;11,52505831;2721489;285653;6
3;1992;31;5013;;16233;373449;1875353,38;14,67492085;;;;;;;;357710;15
8;2005;19;3518;1;21005;442394;2562182,67;11,14442504;4;15;2876;19672;412642;10,94250281;2413695;277752;6
3;1993;31;5013;;15632;439435;2266190,5;18,0718234;;;;;;;;357710;15
8;2006;19;3518;1;21755;515458;3109541,16;12,22387328;4;15;2876;20930;504613;12,47437701;3070494;277752;6
3;1994;30;4713;;16278;355327;1945688,16;14,59993746;;;;;;;;357710;14
8;2007;16;3068;1;20020;481136;2919883,4;12,22543427;3;14;2826;19427;455661;11,76903139;2823346;277752;5
3;1995;30;4713;;18163;451527;2372863,16;15,6572478;;;;;;;;344721;14
8;2008;16;3068;1;20826;520687;3237320,29;12,72897509;4;15;2876;20594;514456;12,71510949;3208871;277752;5
3;1996;30;4713;;17499;438097;2295471,38;16,0926984;;;;;;;;344721;14
8;2009;19;3518;1;22388;525893;3285196,34;12,23097998;4;15;2876;20516;478366;11,88573774;2987950;277752;6
3;1997;30;4713;;18577;468482;2458060,17;16,32344876;;;;;;;;344721;14
8;2010;19;3518;1;22544;510164;3290098,86;11,89570586;4;15;2876;20272;459856;11,64008521;2981079;277752;6
3;1998;30;4631;;16383;547106;2994057,36;22,36851842;;;;;;;;344721;14
8;2011;19;3518;1;23188;573289;3855984,14;12,95758699;2;4;818;2953;67079;11,48660219;391493;277752;6
3;1999;29;4461;;15972;422347;2282970,12;17,82109744;;;;;;;;344721;14
8;2012;19;3518;1;23168;526624;3527019,6;11,92222248;4;15;2876;21494;487203;11,81479979;3268734;277752;6
3;2000;28;3956;;17241;419652;2302319,71;16,97879613;;;;;;;;344721;11
8;2013;19;3518;1;22624;474233;3147861,69;10,96128039;4;15;2876;20967;434723;10,6698348;2897786;277752;6
3;2001;28;3956;;18443;534680;2927412,86;20,47777387;;;;;;;;344721;11
8;2014;18;3326;1;22836;543598;3434980,1;12,50475889;4;15;2876;21035;498130;12,22266634;3166912;277752;5
8;2015;18;3501;1;23486;562097;3556774,71;12,37916703;4;15;3051;21244;502434;11,89866265;3197434;277752;5
8;2016;18;3276;1;23527;584183;3682518,93;13,35435681;4;15;2826;21534;523191;12,76412147;3319213;277752;5
8;2017;18;3501;1;23158;580062;3669050,36;12,84790285;4;15;3051;21541;538471;12,72374679;3429668;277752;5
8;2018;18;3476;1;23387;536768;3409607,8;11,79828651;4;15;3026;21484;486644;11,41456504;3105860;277752;5
8;2019;18;3476;1;22630;531045;3418012,92;12,1925404;4;15;3026;20744;478392;11,75381151;3098036;277752;5
8;2020;18;3476;1;9922;151378;969482,23;7,781466315;4;15;3026;9122;138938;7,614367873;894432;277752;5
9;2002;11;2839;;5556;198457;922519,44;13,75849;6;6;1643;2001;84342;15,41309552;345860;137205;10
9;2003;11;2675;;4935;167340;778166,08;14,9794831;6;6;1643;1816;64479;13,47867168;255340;146289;10
9;2004;11;2673;;4997;181173;852008,19;17,23174347;8;8;2255;2646;92723;12,65690948;391162;146289;10
9;2005;12;2610;;5568;157869;738699,66;14,2207157;8;8;1690;3375;100094;13,26166394;452549;152499;11
9;2006;12;2610;;5298;168525;797898,59;16,32480081;5;6;933;3370;117206;23,1119472;589380;152499;11
9;2007;12;2610;;5470;175595;828607,53;15,7320635;9;10;2041;4854;160143;16,22761196;769147;152499;11
9;2008;12;2610;;5491;161955;774823,16;14,42901358;5;5;813;1809;60487;22,01304326;270661;152499;11
9;2009;12;2610;;5546;174931;852606,9;15,42147198;6;6;1276;1906;69378;21,11507102;308527;152499;11
9;2010;12;2610;;5403;170236;832241,72;16,00024061;7;7;1666;2616;87168;14,72551829;393824;152499;11
9;2011;12;2610;;5408;180722;958317,71;16,69610687;7;7;1666;2622;93227;15,31477366;459927;152499;11
9;2012;12;2610;;5253;148540;821902,86;13,7482426;8;8;1964;3043;93170;12,47476127;460227;152499;11
9;2013;12;2610;;5581;130128;724410,25;11,0904955;8;8;1964;3311;82522;9,875257885;415729;152499;11
9;2014;12;2610;;5654;149648;808484,25;12,52279279;8;8;1964;3422;96955;11,2368601;481914;152499;11
4;1966;89;43337;;;424860;138169,88;;;;;;;;;104813;
9;2015;12;2660;;5796;151018;813556,02;12,98428401;8;8;2014;3196;88869;11,31872891;433135;152499;11
4;1967;21;6675;;;348652;131020,326;;;;;;;;;104813;
9;2016;13;2691;;6112;164716;883916,18;13,63174041;8;9;2045;3693;102549;11,92451031;503530;152499;11
4;1968;20;6268;;;324081;127274,0439;;;;;;;;;104813;
9;2017;13;2750;;6666;164949;878552,02;12,60689558;7;7;1624;2556;82589;15,43226371;392907;152499;11
4;1969;18;5937;;;275244;130504,7435;;;;;;;;;104813;
9;2018;13;2750;;7473;167802;886760,9;11,35008996;8;9;2104;5121;118063;10,42497976;581310;152499;11
4;1970;18;5937;;;262797;132924,1094;;;;;;;;;104813;
9;2019;13;2750;;8394;185920;994837,05;11,5708384;9;10;2293;6354;144536;10,95639531;724720;152499;11
4;1971;19;6155;;;238468;131942,0328;;;;;;;;;104813;
9;2020;13;2750;;4381;54249;279089,31;6,443539891;9;10;2293;3435;46133;6,479636052;227338;152499;11
